,Gene stable ID,Gene name,Transcript name,RefSeq match transcript (MANE Select),Ensembl Canonical,Transcript stable ID,gene_id
11765,ENSG00000135740,SLC9A5,SLC9A5-201,NM_004594.3,True,ENST00000299798,ENSG00000135740.16
11766,ENSG00000154316,TDH,TDH-203,,True,ENST00000531764,ENSG00000154316.16
11767,ENSG00000213742,ZNF337-AS1,ZNF337-AS1-204,,True,ENST00000428254,ENSG00000213742.6
11768,ENSG00000266714,MYO15B,MYO15B-235,NM_001395058.1,True,ENST00000645453,ENSG00000266714.8
11769,ENSG00000276757,RN7SL192P,RN7SL192P-201,,True,ENST00000584303,ENSG00000276757.1
11770,ENSG00000267338,,,,True,ENST00000438850,ENSG00000267338.1
11771,ENSG00000183971,NPW,NPW-201,NM_001099456.3,True,ENST00000566435,ENSG00000183971.7
11772,ENSG00000231064,THBS3-AS1,THBS3-AS1-207,,True,ENST00000685687,ENSG00000231064.7
11773,ENSG00000214837,LINC01347,LINC01347-201,,True,ENST00000417964,ENSG00000214837.8
11774,ENSG00000245213,GALNT7-DT,GALNT7-DT-208,,True,ENST00000663396,ENSG00000245213.6
11775,ENSG00000181045,SLC26A11,SLC26A11-201,NM_001166347.2,True,ENST00000361193,ENSG00000181045.14
11776,ENSG00000126106,TMEM53,TMEM53-202,NM_024587.4,True,ENST00000372237,ENSG00000126106.13
11777,ENSG00000279407,,,,True,ENST00000623179,ENSG00000279407.1
11778,ENSG00000255491,,,,True,ENST00000533516,ENSG00000255491.2
11779,ENSG00000271816,BMS1P4,BMS1P4-202,,True,ENST00000580790,ENSG00000271816.1
11780,ENSG00000252777,,,,True,ENST00000516968,ENSG00000252777.1
11781,ENSG00000205593,DENND6B,DENND6B-201,NM_001001794.4,True,ENST00000413817,ENSG00000205593.11
11782,ENSG00000225972,MTND1P23,MTND1P23-201,,True,ENST00000416931,ENSG00000225972.1
11783,ENSG00000252464,RN7SKP70,RN7SKP70-201,,True,ENST00000516655,ENSG00000252464.1
11784,ENSG00000249639,,,,True,ENST00000510230,ENSG00000249639.1
11785,ENSG00000242861,,,,True,ENST00000424332,ENSG00000242861.1
11786,ENSG00000111077,TNS2,TNS2-201,NM_170754.4,True,ENST00000314250,ENSG00000111077.17
11787,ENSG00000252050,,,,True,ENST00000516241,ENSG00000252050.1
11788,ENSG00000175548,ALG10B,ALG10B-201,NM_001013620.4,True,ENST00000308742,ENSG00000175548.8
11789,ENSG00000152669,CCNO,CCNO-201,NM_021147.5,True,ENST00000282572,ENSG00000152669.8
11790,ENSG00000049192,ADAMTS6,ADAMTS6-203,NM_197941.4,True,ENST00000381055,ENSG00000049192.14
11791,ENSG00000270060,,,,True,ENST00000524412,ENSG00000270060.1
11792,ENSG00000122507,BBS9,BBS9-201,NM_198428.3,True,ENST00000242067,ENSG00000122507.20
11793,ENSG00000258064,,,,True,ENST00000548802,ENSG00000258064.1
11794,ENSG00000273342,,,,True,ENST00000609038,ENSG00000273342.1
11795,ENSG00000221890,NPTXR,NPTXR-201,NM_014293.4,True,ENST00000333039,ENSG00000221890.3
11796,ENSG00000100731,PCNX1,PCNX1-201,NM_014982.3,True,ENST00000304743,ENSG00000100731.15
11797,ENSG00000169239,CA5B,CA5B-201,NM_007220.4,True,ENST00000318636,ENSG00000169239.12
11798,ENSG00000182636,NDN,NDN-201,NM_002487.3,True,ENST00000649030,ENSG00000182636.6
11799,ENSG00000223839,FAM95B1,FAM95B1-201,,True,ENST00000661710,ENSG00000223839.7
11800,ENSG00000265148,TSPOAP1-AS1,TSPOAP1-AS1-210,,True,ENST00000583841,ENSG00000265148.5
11801,ENSG00000242689,CNTF,CNTF-201,NM_000614.4,True,ENST00000361987,ENSG00000242689.2
11802,ENSG00000246263,UBR5-DT,UBR5-DT-202,,True,ENST00000520820,ENSG00000246263.2
11803,ENSG00000280173,,,,True,ENST00000624214,ENSG00000280173.1
11804,ENSG00000276256,,,,True,ENST00000612465,ENSG00000276256.1
11805,ENSG00000276203,ANKRD20A3P,ANKRD20A3P-201,,True,ENST00000697243,ENSG00000276203.4
11806,ENSG00000239704,CDRT4,CDRT4-203,NM_001204477.2,True,ENST00000619038,ENSG00000239704.10
11807,ENSG00000168917,SLC35G2,SLC35G2-202,NM_025246.3,True,ENST00000446465,ENSG00000168917.8
11808,ENSG00000204514,ZNF814,ZNF814-201,NM_001144989.2,True,ENST00000435989,ENSG00000204514.9
11809,ENSG00000231439,WASIR2,WASIR2-201,,True,ENST00000527434,ENSG00000231439.4
11810,ENSG00000214309,MBLAC1,MBLAC1-201,NM_203397.3,True,ENST00000398075,ENSG00000214309.4
11811,ENSG00000219073,CELA3B,CELA3B-201,NM_007352.4,True,ENST00000337107,ENSG00000219073.7
11812,ENSG00000134070,IRAK2,IRAK2-201,NM_001570.4,True,ENST00000256458,ENSG00000134070.4
11813,ENSG00000169169,CPT1C,CPT1C-217,NM_001199753.2,True,ENST00000598293,ENSG00000169169.14
11814,ENSG00000187231,SESTD1,SESTD1-203,NM_178123.5,True,ENST00000428443,ENSG00000187231.13
11815,ENSG00000165475,CRYL1,CRYL1-201,NM_015974.3,True,ENST00000298248,ENSG00000165475.14
11816,ENSG00000275764,,,,True,ENST00000620519,ENSG00000275764.1
11817,ENSG00000115386,REG1A,REG1A-201,NM_002909.5,True,ENST00000233735,ENSG00000115386.5
11818,ENSG00000249839,,,,True,ENST00000510070,ENSG00000249839.1
11819,ENSG00000177406,NINJ2-AS1,NINJ2-AS1-203,,True,ENST00000543884,ENSG00000177406.4
11820,ENSG00000176438,SYNE3,SYNE3-206,NM_152592.6,True,ENST00000682763,ENSG00000176438.12
11821,ENSG00000089163,SIRT4,SIRT4-201,NM_012240.3,True,ENST00000202967,ENSG00000089163.4
11822,ENSG00000230074,,,,True,ENST00000654838,ENSG00000230074.1
11823,ENSG00000258708,SLC25A21-AS1,SLC25A21-AS1-201,,True,ENST00000556667,ENSG00000258708.1
11824,ENSG00000255624,C10orf88B,C10orf88B-201,,True,ENST00000368895,ENSG00000255624.3
11825,ENSG00000229666,MAST4-AS1,MAST4-AS1-201,,True,ENST00000451496,ENSG00000229666.1
